연도,계절,일유형,시간,고객당평균_kWh
2024,여름,주중,6,0.679622363872084
2024,여름,주중,7,0.7579470181503889
2024,여름,주중,8,0.9099918323249773
2024,여름,주중,9,0.9284074114088163
2024,여름,주중,10,0.9225619706136555
2024,여름,주중,11,0.9135246758859115
2024,여름,주중,12,0.9302848962834899
2024,여름,주중,13,0.9542729256698346
2024,여름,주중,14,0.958467178046675
2024,여름,주중,15,0.9584749783923933
2024,여름,주중,16,0.9783085133967159
2024,여름,주중,17,1.0481226447709597
2024,여름,주중,18,1.1666035868625753
2024,여름,주중,19,1.306743150388937
2024,여름,주중,20,1.3800931936041458
2024,여름,주중,21,1.4074574978392356
2024,여름,주중,22,1.3836820008643036
2024,여름,주중,23,1.301716443388074
2024,여름,주중,24,1.1395992005185838
2024,여름,주말,1,0.9987724719101148
2024,여름,주말,2,0.8682404286308787
2024,여름,주말,3,0.7787035996670838
2024,여름,주말,4,0.7222012588431138
2024,여름,주말,5,0.6909572409488137
2024,여름,주말,6,0.6804006970453585
2024,여름,주말,7,0.7111336350395334
2024,여름,주말,8,0.7941797232625878
2024,여름,주말,9,0.9292248231377432
2024,여름,주말,10,1.0528078963795233
2024,여름,주말,11,1.096908863920101
2024,여름,주말,12,1.1249900645027082
2024,여름,주말,13,1.1486175093632978
2024,여름,주말,14,1.1464628589263421
2024,여름,주말,15,1.1392477632126479
2024,여름,주말,16,1.1396722846441945
2024,여름,주말,17,1.1732326258843084
2024,여름,주말,18,1.2386194860590927
2024,여름,주말,19,1.3162527569704547
2024,여름,주말,20,1.3503140345401594
2024,여름,주말,21,1.3879134935497295
2024,여름,주말,22,1.3707861527257579
2024,여름,주말,23,1.292065803162715
2024,여름,주말,24,1.1425411985018725
2024,겨울,주중,1,0.7324988053725946
2024,겨울,주중,2,0.6452789939300009
2024,겨울,주중,3,0.588356886865555
2024,겨울,주중,4,0.5555544846958538
2024,겨울,주중,5,0.5486535903396618
2024,겨울,주중,6,0.5647643193852501
2024,겨울,주중,7,0.6314704733307496
2024,겨울,주중,8,0.7645994285160781
2024,겨울,주중,9,0.7581005908562576
2024,겨울,주중,10,0.6983076165568919
2024,겨울,주중,11,0.6617769921219152
2024,겨울,주중,12,0.651124354255456
2024,겨울,주중,13,0.6495399070127854
2024,겨울,주중,14,0.6261397068319775
2024,겨울,주중,15,0.6164725235696765
2024,겨울,주중,16,0.6234257232338881
2024,겨울,주중,17,0.6856855708381753
2024,겨울,주중,18,0.8206108743381119
2024,겨울,주중,19,0.9726749967712781
2024,겨울,주중,20,1.028706347668863
2024,겨울,주중,21,1.0290285419088212
2024,겨울,주중,22,1.0122203118946163
2024,겨울,주중,23,0.9574984340694841
2024,겨울,주중,24,0.8521981790003889
2024,겨울,주말,1,0.7486983641771318
2024,겨울,주말,2,0.6640762970918707
2024,겨울,주말,3,0.6052945720422994
2024,겨울,주말,4,0.5678945803040333
2024,겨울,주말,5,0.5526350793126247
2024,겨울,주말,6,0.5569898793787164
2024,겨울,주말,7,0.5855344101123607
2024,겨울,주말,8,0.6568745456047591
