고객ID,연도,월,추천요금제,일반 주택용_요금원,제주 TOU(3kW)_요금원,구독 기본형_요금원,구독 프리미엄형_요금원
M0987,2024,7,일반 주택용,6959.089760000001,24767.726249000003,84900,249900
M0987,2024,8,일반 주택용,7878.552709999998,26265.3205892,84900,249900
M0987,2024,9,일반 주택용,8809.849160000002,24153.1476788,84900,249900
M0987,2024,10,일반 주택용,12128.638760000003,28292.553763600008,84900,249900
M0987,2024,11,일반 주택용,6221.220320000001,22112.4369368,84900,249900
M0987,2024,12,일반 주택용,14781.777080000002,34440.6375313,84900,249900
M0987,2025,1,일반 주택용,84140.8414259,94150.91335369999,84900,249900
M0987,2025,2,구독 기본형,128353.65166609998,117101.31378469999,108627.29999999996,249900
M0987,2025,3,제주 TOU(3kW),133262.83830859995,103979.40924,112879.79999999996,249900
M0987,2025,4,일반 주택용,72990.3170626,79168.2865036,84900,249900
M0987,2025,5,일반 주택용,62245.460519199994,72251.7588002,84900,249900
M0987,2025,6,일반 주택용,75485.2849898,95951.5915785,84900,249900
M0987,2025,7,일반 주택용,111702.09503250002,137473.46729970002,128797.50000000001,249900
M0987,2025,8,일반 주택용,114134.62129929998,138989.03255649997,131469.9,249900
M0987,2025,9,구독 기본형,102503.79692209998,91790.01526240002,86235.29999999999,249900
M0987,2025,10,일반 주택용,59895.36325779999,70029.733368,84900,249900
M0987,2025,11,일반 주택용,55682.26309380002,78269.29877690002,84900,249900
M0987,2025,12,일반 주택용,59300.643780000006,81598.2003844,84900,249900
M0988,2024,1,제주 TOU(3kW),224030.32263920002,175367.6969296,191505.60000000003,249900
M0988,2024,2,제주 TOU(3kW),212009.30899819994,168366.00003299996,181092.59999999995,249900
M0988,2024,3,제주 TOU(3kW),204245.00174329994,139013.02063880002,174366.89999999997,249900
M0988,2024,4,제주 TOU(3kW),172376.32832839995,124119.56462079997,146761.19999999995,249900
M0988,2024,5,제주 TOU(3kW),138688.7449843,108148.84221119998,117579.9,249900
M0988,2024,6,구독 기본형,149987.3202947,134641.8552311,127367.1,249900
M0988,2024,7,제주 TOU(3kW),220555.46089500005,220238.3181362,248385.00000000006,249900
M0988,2024,8,일반 주택용,194750.69358920003,200926.26026620006,220035.60000000003,249900
M0988,2024,9,제주 TOU(3kW),200157.30298199996,139128.2523316,170826.0,249900
M0988,2024,10,제주 TOU(3kW),151138.165248,115278.5311454,128364.0,249900
M0988,2024,11,구독 기본형,164213.7449085,142267.44580370001,139690.5,249900
M0988,2024,12,제주 TOU(3kW),240098.51477080004,186363.59655480005,205424.40000000005,249900
M0988,2025,1,제주 TOU(3kW),237445.64918479993,183706.6534827999,203126.3999999999,249900
M0988,2025,2,제주 TOU(3kW),205304.76266929996,165012.57648329998,175284.89999999997,249900
M0988,2025,3,제주 TOU(3kW),206794.3155264,139949.276565,176575.19999999998,249900
M0988,2025,4,제주 TOU(3kW),147910.39667600003,111417.55446780002,125568.00000000001,249900
M0988,2025,5,제주 TOU(3kW),149594.93169039997,112943.13920539997,127027.19999999995,249900
M0988,2025,6,구독 기본형,153325.91353870006,138018.35489470002,130259.10000000003,249900
M0988,2025,7,일반 주택용,158264.984164,170920.22156299997,179952.0,249900
M0988,2025,8,제주 TOU(3kW),239004.75811519995,233525.99885859995,268653.5999999999,268653.5999999999
M0988,2025,9,제주 TOU(3kW),208829.333566,144235.68266939998,178338.0,249900
M0988,2025,10,제주 TOU(3kW),159054.51009980007,118265.78619660003,135221.40000000005,249900
M0988,2025,11,제주 TOU(3kW),207357.44339099998,164232.22421479996,177062.99999999997,249900
M0988,2025,12,제주 TOU(3kW),240728.1374386,185613.68016099997,205969.8,249900
M0989,2024,1,구독 기본형,142469.597935,133049.593229,120855.0,249900
M0989,2024,2,구독 기본형,152993.43952270004,137483.01930090002,129971.10000000002,249900
M0989,2024,3,제주 TOU(3kW),148159.05953380006,114975.68032440002,125783.40000000004,249900
M0989,2024,4,제주 TOU(3kW),134020.2556763,107796.64411739999,113535.9,249900
M0989,2024,5,제주 TOU(3kW),160393.7569955,120939.3462074,136381.5,249900
M0989,2024,6,제주 TOU(3kW),290275.4240001,219486.41698270003,248889.30000000002,249900
M0989,2024,7,제주 TOU(3kW),375664.2367043999,334538.27225139993,418789.1999999999,418789.19999999995
M0989,2024,8,제주 TOU(3kW),392568.7650549,345050.56389229995,437360.69999999995,437360.69999999995
M0989,2024,9,제주 TOU(3kW),364501.2870533999,219874.70263079996,313186.19999999995,313186.1999999999
M0989,2024,10,제주 TOU(3kW),190286.28797780004,135077.8587354,162275.40000000002,249900
M0989,2024,11,구독 기본형,180949.65568889998,155097.5198969,154187.69999999998,249900
M0989,2024,12,제주 TOU(3kW),188936.30494200002,159555.772201,161106.00000000003,249900
M0989,2025,1,구독 기본형,152011.25586710003,137654.8408193,129120.30000000002,249900
M0989,2025,2,구독 기본형,127861.52085699998,122333.073072,108200.99999999999,249900
M0989,2025,3,제주 TOU(3kW),139382.09183849997,109430.79975239998,118180.49999999999,249900
M0989,2025,4,제주 TOU(3kW),145655.46092789999,113175.2121724,123614.7,249900
M0989,2025,5,제주 TOU(3kW),145056.3150449,112196.26931800002,123095.69999999998,249900
M0989,2025,6,제주 TOU(3kW),195064.5629765,163122.64076009998,166414.49999999997,249900
M0989,2025,7,일반 주택용,203362.5684069,204613.86253209997,229496.7,249900
M0989,2025,8,제주 TOU(3kW),275885.0567248999,257862.59813229996,309170.69999999995,309170.6999999999
M0989,2025,9,제주 TOU(3kW),287494.41738710005,181571.12552600005,246480.30000000005,249900
M0989,2025,10,제주 TOU(3kW),189013.5358853,133970.712869,161172.89999999997,249900
M0989,2025,11,구독 기본형,151956.88251239998,136480.78665339996,129073.19999999998,249900
M0989,2025,12,구독 기본형,152340.2666121,136276.4898411,129405.3,249900
M0991,2024,1,구독 기본형,148085.63818860002,136743.2667566,125719.80000000002,249900
M0991,2024,2,구독 기본형,124111.83734530002,123010.2315855,104952.90000000002,249900
M0991,2024,3,제주 TOU(3kW),131484.4486501,107540.1932388,111339.29999999999,249900
