비식별고객ID,관측일수,시간값완전도,0사용일수,연간사용량_kWh,월평균사용량_kWh,최대시간사용량_kWh,주말/주중_일사용량비,경부하비중,중간부하비중,최대부하비중,부하율,월변동계수,하계민감도,동계민감도,일반주택용_연간요금원,제주TOU3kW_연간요금원,제주TOU5kW_연간요금원,구독기본형_연간요금원,구독프리미엄형_연간요금원,연간최저요금제,TOU대비최대절감가능액원,15일예측_MAPE,20일예측_MAPE,군집
T0303,365,0.9984018264840184,0,9501.771999999995,791.8143333333331,5.718,1.0060660591394082,0.338351677981749,0.342332251289549,0.3193160707287019,0.1896952026844651,0.3423363018621908,1.534207103878524,0.8865608514225667,2446848.0426012,1985474.441146,2102051.321146,2249331.6,3214139.1,제주TOU(3kW),0.0,0.0527731301700712,0.0401190573625801,주간·저녁활동형
T0304,365,0.9982876712328768,0,4513.923499999999,376.1602916666666,2.44,1.013308494402346,0.2791961361330116,0.3746960930994954,0.346107770767493,0.2111836355640392,0.2121160106647132,1.395222005040633,1.1233779565737836,844912.5253723,1053839.02036945,1170415.90036945,1057139.4,2998800.0,일반주택용,208926.4949971501,0.078094232134105,0.0584198731993639,주간·저녁활동형
T0305,365,0.9984018264840184,0,5588.228000000001,465.6856666666668,4.29,1.182703699617237,0.2955502173497574,0.3303018416571406,0.3741479409931019,0.1487005992485444,0.5381561528255978,1.958792549992621,0.9755939689912724,1235521.6304823002,1269233.1989785,1385810.0789785,1401090.6,3021345.9,일반주택용,33711.56849619979,0.1336869531295359,0.0820874477301129,하계·주말집중형
T0306,365,0.9954337899543378,0,6710.188,559.1823333333333,4.988,1.002474017390916,0.4793126511507574,0.1319635157763091,0.3887238330729334,0.1535692053622758,0.402726131926572,0.7868047594707214,1.7794642909157756,1618745.1642946503,1433391.35771125,1549968.23771125,1555418.55,2998800.0,제주TOU(3kW),0.0,0.0855142519103427,0.0589448235764918,동계난방민감형
T0307,365,0.9985159817351598,0,6365.4275,530.4522916666666,4.058,1.1770891866751432,0.4001646393741819,0.261281901333414,0.338553459292404,0.1790652969161766,0.3595273301824361,1.4098755065006383,0.8339126988027962,1425050.65340645,1370734.1665066,1487311.0465065998,1395502.2,2998800.0,제주TOU(3kW),0.0,0.085369236558718,0.0703338079751333,하계·주말집중형
T0308,365,0.9981735159817352,0,7413.104999999998,617.7587499999998,4.139,1.0527760338340098,0.3638273031341119,0.3050288644232072,0.3311438324426807,0.2044563573359986,0.3671030183742421,1.6846788156849188,1.2197421076571204,1761176.55354865,1594906.0759589998,1711482.9559589997,1668934.65,3063209.7,제주TOU(3kW),0.0,0.120838307738683,0.0831603015910703,하계·주말집중형
T0309,365,0.995890410958904,0,11295.4095,941.284125,5.008,1.0199206625308828,0.3891019179074472,0.3307727798624742,0.2801253022300785,0.2574741030789093,0.2006338594804342,1.2141643849835286,0.8757274881098718,3082895.4373374498,2274947.57587895,2391524.4558789497,2787422.85,3214418.7,제주TOU(3kW),0.0,0.0326167862903078,0.0270005428547145,야간·평탄형
T0310,365,0.9982876712328768,0,5675.456999999999,472.95474999999993,4.511,1.1108240441357735,0.3837559689025923,0.3508294574340004,0.2654145736634071,0.1436229703343121,0.3078885827650056,1.581909384594545,0.908030731458495,1190964.76275105,1236463.7860281002,1353040.6660281,1259883.9,2998800.0,일반주택용,45499.02327705012,0.0598807759906494,0.0418105836690106,하계·주말집중형
T0311,365,0.9982876712328768,0,7484.8765,623.7397083333334,4.144,1.1520915706862382,0.3704682368506681,0.3131940787533368,0.3163376843959951,0.2061867655938717,0.2684793498846733,1.3215124302616863,0.8185530485372124,1809662.6952281496,1583083.4955183498,1699660.37551835,1644262.9500000002,2998800.0,제주TOU(3kW),0.0,0.0787226417258597,0.047012442132069,야간·평탄형
T0312,365,0.9990867579908675,0,8222.035500000002,685.1696250000001,4.494,0.9493320400014787,0.2265058938264131,0.4398885166574626,0.3336055895161242,0.2088536999103828,0.2251785664847892,1.3170164505707782,0.821201331919564,2054166.05039205,1777638.8429856,1894215.7229856,1865410.65,2998800.0,제주TOU(3kW),0.0,0.0420468328710135,0.034350761488851,주간·저녁활동형
T0313,365,0.997716894977169,0,5380.024,448.3353333333334,4.397,1.0904158115162952,0.3904174033424386,0.2695987043923967,0.3399838922651647,0.1396765956032704,0.2670974926068943,1.415965110785239,0.9197989894327506,1097174.5876154,1190438.75589975,1307015.63589975,1192108.5,2998800.0,일반주택용,93264.16828434984,0.0288158946451191,0.0261991689503877,하계·주말집중형
T0315,365,0.9971461187214612,0,5790.630499999999,482.5525416666666,2.99,1.015178685098752,0.3753317535974709,0.3433411957471643,0.2813270506553647,0.2210805615369343,0.1547616208908451,1.0723909053131908,1.0986036529111518,1264754.58533445,1258556.95966105,1375133.8396610497,1198900.35,2998800.0,구독기본형,59656.60966105014,0.1252196379004896,0.088795344891721,야간·평탄형
T0316,365,0.9985159817351598,0,4425.948,368.829,4.003,1.0260933405675072,0.4725447519943749,0.167787443503629,0.359667804501996,0.1262166388906949,0.4372318507830019,1.2070150830901387,1.5791020176598822,884209.02210375,1002760.06935615,1119336.94935615,1135042.95,2998800.0,일반주택용,118551.04725239996,0.1620241609156104,0.1073902215107732,동계난방민감형
T0317,365,0.9986301369863012,0,5982.261,498.52175,5.107,1.1568337447894053,0.3564991564226302,0.3056591813697194,0.3378416622076504,0.1337196997942657,0.2694848306335193,1.474854512551343,1.0129322385168165,1304112.4074327997,1314850.0314536998,1431426.9114537002,1278642.6,2998800.0,구독기본형,36207.43145369971,0.0743886939884598,0.0558748551583741,하계·주말집중형
T0318,365,0.9987442922374428,0,6338.817499999999,528.2347916666666,2.842,1.0099710435261025,0.3796911647953266,0.3305614178038727,0.2897474174008007,0.2546127036076594,0.289795171503008,1.0718976335064678,0.8159245051215059,1472772.4370324,1352455.5292059002,1469032.4092059,1445547.3,2998800.0,제주TOU(3kW),0.0,0.102650971620175,0.0759212728781865,야간·평탄형
T0319,365,0.9994292237442922,0,5940.7965,495.0663750000001,3.596,1.0307979596340957,0.3216443283320679,0.3605853188204645,0.3177703528474676,0.1885909667514894,0.3176700278976493,1.4491999202873247,0.7408087797225875,1279046.78459845,1306040.1263945,1422617.0063945,1337144.55,2998800.0,일반주택용,26993.34179605008,0.0807975177502849,0.0548812427840647,주간·저녁활동형
T0320,365,0.9981735159817352,0,7647.484,637.2903333333334,3.515,1.000296763537166,0.4580543091034907,0.3126407979408652,0.229304892955644,0.2483642835337139,0.1343600319667834,1.0301049378579157,1.0648713058517747,1899549.1607764,1563264.2888880502,1679841.16888805,1693045.1999999995,2998800.0,제주TOU(3kW),0.0,0.0717452439565183,0.0384334248449129,야간·평탄형
T0321,365,0.9984018264840184,0,10509.271,875.7725833333334,7.824,0.9874742466171332,0.3636620465872466,0.2921590850592776,0.3441788683534757,0.1533344159406486,0.2153484487852678,1.386822504650258,1.0237582543603028,2809906.3622441003,2173505.2888178,2290082.1688178,2551581.3000000003,3163025.4,제주TOU(3kW),0.0,0.0525761883470556,0.0458355783782992,주간·저녁활동형
T0322,365,0.9984018264840184,0,7704.302,642.0251666666667,4.292,1.0129118251444906,0.3983587351586166,0.2908882595723791,0.3107530052690042,0.2049129845480813,0.3801134479531791,1.6820993797814,0.8514406969654431,1852837.1414826,1622131.9990554,1738708.8790554,1743331.7999999998,3057558.3,제주TOU(3kW),0.0,0.0714796044000979,0.0481415706698804,하계·주말집중형
T0326,365,0.9984018264840184,0,6665.4095,555.4507916666666,4.11,1.000348201602138,0.2942443371258734,0.381472736221233,0.3242829266528935,0.1851317507138175,0.2507149983578178,1.424169176111088,0.9667267481148611,1533696.4555090505,1459767.8372406503,1576344.7172406502,1427797.0499999998,2998800.0,구독기본형,31970.787240650505,0.062611422141015,0.0502771580252701,주간·저녁활동형
T0327,365,0.9982876712328768,0,6171.746,514.3121666666667,2.998,1.0089283555718729,0.3928459628766317,0.2814586018283966,0.3256954352949717,0.2350024064749406,0.2125037846966707,1.3822571700361994,1.0277472264856788,1379082.7568812002,1337350.60386585,1453927.48386585,1306436.25,2998800.0,구독기본형,30914.35386585002,0.0525673294721615,0.0370331803824076,야간·평탄형
T0329,365,0.9984018264840184,0,6748.349500000001,562.3624583333334,3.947,1.020473801825084,0.3255355994825104,0.3192762170957505,0.3551881834217389,0.1951759645207677,0.0588093561036106,1.0384302353784542,1.002274327920042,1599256.4586414502,1465007.40877925,1581584.28877925,1423304.8500000003,2998800.0,구독기본형,41702.55877924967,0.0281463766557243,0.0267309442776922,주간·저녁활동형
T0330,365,0.9985159817351598,0,6336.033999999999,528.0028333333332,5.106,1.3737182101578709,0.2495139704111436,0.3682584405323583,0.3822275890564982,0.1416552198416403,0.265899215733613,1.526963794036434,0.9905211965890524,1418597.9036152,1422596.39925585,1539173.2792558502,1339001.85,2998800.0,구독기본형,83594.5492558498,0.0570479992434244,0.0429980857916296,하계·주말집중형
