고객ID,2024관측일수,2025관측일수,2024시간값완전도,2025시간값완전도,2개년핵심표본
M0441,366,365,0.9989754098360656,0.9982876712328768,Y
M0442,366,365,0.9974954462659381,0.9942922374429224,N
M0443,366,365,0.9986338797814208,0.9986301369863013,Y
M0444,338,365,0.9982741617357002,0.9986301369863013,N
M0445,287,365,0.9937572590011614,0.9988584474885844,N
M0446,358,365,0.9959264432029795,0.9882420091324201,N
M0447,359,365,0.9943129062209842,0.9972602739726028,N
M0448,366,365,1.0,1.0,Y
M0449,366,345,1.0,0.9963768115942029,N
M0450,366,345,1.0,0.9963768115942029,N
M0451,366,365,1.0,1.0,Y
M0452,366,365,1.0,1.0,Y
M0453,366,365,1.0,1.0,Y
M0454,366,365,1.0,0.9973744292237443,Y
M0455,366,365,1.0,1.0,Y
M0456,366,365,1.0,1.0,Y
M0457,366,365,1.0,1.0,Y
M0458,366,365,1.0,1.0,Y
M0459,366,365,1.0,1.0,Y
M0460,366,365,1.0,1.0,Y
M0461,366,365,1.0,0.9969178082191781,Y
M0462,366,365,0.9989754098360656,0.9981735159817352,Y
M0463,366,365,0.9985200364298725,0.9982876712328768,Y
M0464,366,365,0.9985200364298725,0.9984018264840183,Y
M0465,366,365,0.9980646630236795,0.9926940639269406,N
M0466,366,365,0.9989754098360656,0.9986301369863013,Y
M0467,321,365,0.995067497403946,0.9982876712328768,N
M0468,366,365,0.9992030965391621,0.9992009132420091,Y
M0469,366,365,1.0,1.0,Y
M0470,366,365,0.9989754098360656,0.9987442922374429,Y
M0471,366,355,0.9992030965391621,0.9968309859154929,N
M0472,366,365,0.9986338797814208,0.9981735159817352,Y
M0473,366,365,0.9985200364298725,0.9982876712328768,Y
M0474,328,358,0.9958079268292683,0.9824255121042831,N
M0475,148,365,0.9963400900900901,0.9981735159817352,N
M0476,366,365,1.0,1.0,Y
M0477,366,364,1.0,0.9988553113553114,N
M0478,366,365,0.9985200364298725,0.9982876712328768,Y
M0479,366,365,0.9985200364298725,0.9982876712328768,Y
M0480,366,347,1.0,0.9971181556195965,N
M0481,366,347,1.0,0.9966378482228626,N
M0482,366,365,1.0,1.0,Y
M0483,366,347,1.0,0.9971181556195965,N
M0484,366,347,1.0,0.9971181556195965,N
M0485,366,347,1.0,0.9966378482228626,N
M0486,366,349,1.0,0.994269340974212,N
M0487,366,345,1.0,0.9963768115942029,N
M0488,366,345,1.0,0.9963768115942029,N
M0489,366,349,1.0,0.9927172874880611,N
M0490,366,349,1.0,0.9927172874880611,N
M0491,366,347,0.998747723132969,0.9900336215177714,N
M0492,366,347,0.998747723132969,0.9900336215177714,N
M0493,366,365,1.0,0.9995433789954338,Y
M0494,366,347,0.998747723132969,0.9900336215177714,N
M0495,366,347,0.998747723132969,0.9900336215177714,N
M0496,366,365,1.0,0.9995433789954338,Y
M0497,366,365,1.0,0.9995433789954338,Y
M0498,366,365,1.0,0.9995433789954338,Y
M0499,366,365,1.0,1.0,Y
M0500,366,365,1.0,1.0,Y
M0501,366,365,1.0,1.0,Y
M0502,366,365,1.0,1.0,Y
M0503,364,347,0.9872939560439561,0.9903938520653218,N
